Platform,Rank,Title,Release Date,Rating,Score,Description,Link,Image URL
PS5,1,Elden Ring,25-Feb-22,Rated M,96,"A New World Created By Hidetaka Miyazaki And George R. R. Martin

ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date. 

Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice. 

George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.",https://www.metacritic.com/game/elden-ring/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/Elden_Ring_Box_art.jpg?raw=true
PS5,2,Baldur's Gate 3,6-Sep-23,Rated M,96,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power. Mysterious abilities are awakening inside you, drawn from a mind flayer parasite planted in your brain. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.",https://www.metacritic.com/game/baldurs-gate-3/,https://raw.githubusercontent.com/sayheyakanksha/elden-ring-data-story-tableau/main/game-images/Baldur's_Gate_3_cover_art.jpg
PS5,3,Astro Bot,6-Sep-24,Rated E10+,94,"When the PS5 mothership is attacked by ASTRO’s long-standing galactic nemesis, scrambling its wires and scattering the crew throughout space, only ASTRO can make things right. Setting off on his biggest mission yet, he needs your help to rescue the stranded crew and rebuild the mothership. Make the most of ASTRO’s new power-ups, handcrafted to level up your immersion: from springy punches and rockets all the way to a giant sponge! Buckle up for some epic PlayStation camaraderie, join forces with your favourite PlayStation icons and show the universe that small is mighty in this fresh new ASTRO adventure, exclusive to PS5 consoles.",https://www.metacritic.com/game/astro-bot/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/Astro_Bot_cover_art.jpg?raw=true
PS5,4,Elden Ring: Shadow of the Erdtree,21-Jun-24,Rated M,94,"Rise, Tarnished, and let us walk a new path together.

An upcoming expansion for ELDEN RING, Shadow of the Erdtree, is currently in development.

We hope you look forward to new adventures in the Lands Between.",https://www.metacritic.com/game/elden-ring-shadow-of-the-erdtree/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/elden-ring-shadow-of-the-erdtree-tag-page-cover-art.jpg?raw=true
PS5,5,The Witcher 3: Wild Hunt - Complete Edition,14-Dec-22,Rated M,94,"You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world. The Complete Edition contains the base game, offering a huge, over 100-hour long, open-world adventure, as well as both of its massive story expansions: Hearts of Stone & Blood and Wine worth an extra 50 hours of gameplay!  It also comes with all additional content released for the game, alongside new features and items, including a built-in Photo Mode, swords, armor, and alternate outfits inspired by The Witcher Netflix series — and more!

UPDATED FOR PLAYSTATION 5
Behold the dark fantasy world of the Continent like never before! This edition of The Witcher 3: Wild Hunt has been enhanced with numerous visual and technical improvements, including vastly improved level of detail, faster loading times, a range of community created and newly developed mods for the game, real-time ray tracing, 3D audio support, and more — all implemented with the power of the PlayStation 5 in mind. The game also utilizes the unique features of the Dual Sense controller, with its advanced haptics and adaptive triggers, letting you immerse yourself in the adventure even more!

PLAY AS A HIGHLY TRAINED MONSTER SLAYER FOR HIRE
-Trained from early childhood and mutated to gain superhuman skills, strength, and reflexes, witchers are a counterbalance to the monster-infested world in which they live.
-Gruesomely destroy foes as a professional monster hunter armed with a range of upgradeable weapons, mutating potions, and combat magic.
-Hunt down a wide variety of exotic monsters, from savage beasts prowling mountain passes to cunning supernatural predators lurking in the shadowy back alleys of densely populated cities.
-Invest your rewards to upgrade your weaponry and buy custom armor, or spend them on horse races, card games, fist fighting, and other pleasures life brings.

EXPLORE A MORALLY AMBIGUOUS FANTASY OPEN WORLD
-Built for endless adventure, the massive open world of The Witcher sets new standards in terms of size, depth, and complexity.
-Traverse a fantastical open world: explore forgotten ruins, caves, and shipwrecks, trade with merchants and dwarven smiths in cities, and hunt across the open plains, mountains, and seas.
-Deal with treasonous generals, devious witches, and corrupt royalty to provide dark and dangerous services.
-Make choices that go beyond good & evil, and face their far-reaching consequences.

TRACK DOWN THE CHILD OF PROPHECY
-Take on the most important contract of your life: to track down the child of prophecy, the key to saving or destroying this world.
-In times of war, chase down the child of prophecy, a living weapon foretold by ancient elven legends.
-Struggle against ferocious rulers, spirits of the wilds, and even a threat from beyond the veil – all hell-bent on controlling this world.
-Define your destiny in a world that may not be worth saving.",https://www.metacritic.com/game/the-witcher-3-wild-hunt-complete-edition/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/Witcher_3_cover_art.jpg?raw=true
PS5,6,Metaphor: ReFantazio,11-Oct-24,Rated T,94,"From the creative minds behind Persona 3, 4, and 5 comes Metaphor: ReFantazio, a unique fantasy world, where your protagonist will journey alongside his fairy companion, Gallica, to lift the curse from the kingdom’s lost prince. Control your destiny, face your fears and awaken magical ""Archetype"" powers that lie dormant in your heart. By awakening to an “Archetype,” you will unlock the power to channel and combine the abilities of unique job classes. Strengthen your bonds and build your party to take down powerful foes and discover the kingdom’s true nature.

-Go on uests, dungeon dive, & hunt for treasures by day. Strengthen relationships, build bonds, & increase virtues by night. Choose your actions wisely, time management is key to achieving your goal. 

Ride your “gauntlet runner” to faraway dungeons & towns across an expansive world. Discover beautiful landscapes  accompanied by captivating music, immersive UI, & anime cutscenes.

A unique battle system combining turn based & real time action grants strategy & exhilaration at every turn. Party customization through “Archetypes” provides freedom to personalize your adventure. 

A mysterious & exciting story unfolds in a world where people must fight their own anxiety. Join the high-stakes Royal Tournament that promises hours of captivating exploration and discovery.",https://www.metacritic.com/game/metaphor-refantazio/,https://www.metacritic.com/a/img/resize/9576fc3181483a2ca8c2742b1a2faae7ef008aaf/catalog/provider/7/2/7-1727501371.jpg?auto=webp&fit=cover&height=132&width=88
PS5,7,God of War: Ragnarok,9-Nov-22,Rated M,94,"The freezing winds of Fimbulwinter have come to Midgard, making survival for Kratos, Atreus, and Mimir in the Norse wilds even more challenging than before.  Kratos, still bearing the knowledge of his past mistakes, wants to spare Atreus the bloody lessons he learned from his conflict with gods. He wants to keep his son safe, above all, and their confrontation with Baldur has vindicated the belief that only tragedy will come from further entanglements with the Aesir. Together, Kratos and Atreus will have to make a choice about which path they will take. Whatever they choose will define the fate of all those living in the Nine Realms as Ragnarok approaches. Whatever your choice of combat strategy, the enemies that await in God of War Ragnarök will be ready. The realms have grown harsher, and a whole host of new creatures from across Norse mythology will test your skills. God of War Ragnarök will take you to the previously unreachable Vanaheim, Svartalfheim, and Asgard - as well as to new areas from locations featured in the last game. Exploring the realms will take you everywhere from verdant, otherworldly jungles to intricate subterranean mining networks. This next installment in the series will bring you a more diverse, beautiful, and mysterious variety of locations than in any other God of War game.",https://www.metacritic.com/game/god-of-war-ragnarok/,https://www.metacritic.com/a/img/resize/94eecfb8841c05d41b519cd6141e11b848a3a04b/catalog/provider/6/3/6-1-905093-13.jpg?auto=webp&fit=cover&height=132&width=88
PS5,8,Hades,13-Aug-21,Rated T,93,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.  Hades is a god-like rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre. BATTLE OUT OF HELL. As the immortal Prince of the Underworld, you'll wield the powers and mythic weapons of Olympus to break free from the clutches of the god of the dead himself, while growing stronger and unraveling more of the story with each unique escape attempt.

UNLEASH THE FURY OF OLYMPUS
The Olympians have your back! Meet Zeus, Athena, Poseidon, and many more, and choose from their dozens of powerful Boons that enhance your abilities. There are thousands of viable character builds to discover as you go.

BEFRIEND GODS, GHOSTS, AND MONSTERS
A fully-voiced cast of colorful, larger-than-life characters is waiting to meet you! Grow your relationships with them, and experience thousands of unique story events as you learn about what's really at stake for this big, dysfunctional family.

BUILT FOR REPLAYABILITY
New surprises await each time you delve into the ever-shifting Underworld, whose guardian bosses will remember you. Use the powerful Mirror of Night to grow permanently stronger, and give yourself a leg up the next time you run away from home.

NOTHING IS IMPOSSIBLE
Permanent upgrades mean you don't have to be a god yourself to experience the exciting combat and gripping story. Though, if you happen to be one, crank up the challenge and get ready for some white-knuckle action that will put your well-practiced skills to the test. 

SIGNATURE SUPERGIANT STYLE
The rich, atmospheric presentation and unique melding of gameplay and narrative that's been core to Supergiant's games is here in full force: spectacular hand-painted environments and a blood-pumping original score bring the Underworld to life.",https://www.metacritic.com/game/hades/,https://www.metacritic.com/a/img/resize/5d47054c674d0daabf7d2cabe0783c840560e401/catalog/provider/6/3/6-1-803479-13.jpg?auto=webp&fit=cover&height=132&width=88
PS5,9,Tetris Effect: Connected,22-Feb-23,Rated E,93,"Tetris® Effect: Connected adds an all-new robust multiplayer expansion to the huge variety of addictive and innovative single-player modes that Tetris Effect is known for with all-new co-op and competitive online and local multiplayer modes. Tetris Effect is Tetris® like you've never seen it, or heard it, or felt it before—an incredibly addictive, unique, and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time, from the people who brought you the award-winning Rez Infinite and legendary puzzle game Lumines. Music, backgrounds, sounds, special effects—everything, down to the Tetris pieces themselves, pulse, dance, shimmer, and explode in perfect sync with how you're playing, making any of the game's 30+ stages and 10+ modes something you'll want to experience over and over again. A challenge for the mind and a feast for all the senses, Tetris Effect: Connected is the perfect excuse to play Tetris again... and again...and again, and again, and again and again and again and again and again and again and... Game leverages Smart Delivery allowing access to both the Xbox One title and the Xbox Series X|S title when available.",https://www.metacritic.com/game/tetris-effect-connected/,https://www.metacritic.com/a/img/resize/8da1ad36077653b0266907d6b7d54b2bdf367dbd/catalog/provider/6/12/6-1-915600-52.jpg?auto=webp&fit=cover&height=132&width=88
PS5,10,Resident Evil 4,24-Mar-23,Rated M,93,"Resident Evil 4, 2005’s legendary survival horror, is brought fully up-to-date in this ground-up remake. Six years after the events of Resident Evil 2, Raccoon City survivor Leon Kennedy has been dispatched to a secluded European village to investigate the disappearance of the US president’s daughter. What he discovers there is unlike anything he has faced before. Every aspect of the classic game has been updated for the current generation, from modernized graphics and controls, to a reimagined storyline that may surprise even hardened fans of the original game.",https://www.metacritic.com/game/resident-evil-4/,https://www.metacritic.com/a/img/resize/50c9af8a4748baa3f08c51a30d18e0ae1a1ceaca/catalog/provider/6/3/6-1-899576-13.jpg?auto=webp&fit=cover&height=132&width=88
